STR_NUMBER,COMPLEX_ID,STR_NAME,INSTALL_DA,REMOVAL_DA,geometry
1,90026,A,1997-01-02,2006-12-16,POINT (-91.95122205000001 28.978564709375007)
1,70025,CAIS.A(PLTF.A),1997-06-03,2012-09-15,POINT (-89.91465467968749 28.962619800000027)
1,80030,A,1997-09-01,2023-09-28,POINT (-91.28000072968752 28.8290008203125)
1,80032,6,1997-07-30,,POINT (-91.586215540625 29.20732120937498)
1,90027,A,1997-08-15,2004-01-21,POINT (-92.78507702031249 28.279684320312526)
1,80034,12,1997-07-23,2023-06-10,POINT (-91.4492717296875 28.98472072031251)
1,40016,TEMP.CAIS.#1,1997-06-15,2001-05-25,POINT (-93.807126159375 29.290901740624975)
1,70027,A,1997-05-21,2015-09-26,POINT (-89.96552435937502 28.721550999999977)
1,2,1,1998-01-05,2010-06-09,POINT (-93.81283094999998 29.474908940625028)
1,40017,CAIS.#1,1997-07-22,2004-07-08,POINT (-93.90512409062501 29.315778899999998)
1,70029,A(Seahorse Pro,1997-08-22,,POINT (-90.02196650000002 28.307612300000017)
1,80037,CAIS.#13,1997-07-25,2023-08-05,POINT (-91.48064319999997 28.985445259375012)
1,4,1,1997-08-26,2003-06-29,POINT (-93.01459940000001 28.953915940624995)
1,50015,B,1997-07-02,2010-07-16,POINT (-93.18518902968748 28.24724289062499)
1,6,Cais.#21,1997-06-19,,POINT (-90.50432484999999 28.898662279687528)
1,5,9,1997-07-22,2007-11-04,POINT (-89.79500979062499 29.068067729687527)
1,8,B,1997-08-15,2009-09-26,POINT (-88.76830704999998 29.115545920312513)
1,11,F,1997-08-30,2010-11-28,POINT (-91.18836144062499 29.12433447968749)
1,10,E-1,1977-08-30,2016-11-01,POINT (-91.29706582031253 29.06209869999998)
1,12,D,1997-08-13,2008-09-29,POINT (-93.97613577968752 28.293719650000014)
1,14,A,1997-08-05,2003-09-23,POINT (-92.98954912968748 29.139296300000012)
2,26018,A-AUX,1997-01-01,,POINT (-91.23938722968751 28.750679620312496)
1,24,C,1997-08-02,,POINT (-91.86598694062502 28.273049440625016)
1,16,E,1997-08-30,2016-10-24,POINT (-91.17911705937502 29.120011940624977)
1,25,JB,1997-09-05,2021-10-11,POINT (-90.52401049999997 28.847695229687474)
1,27,186,1997-07-29,2014-06-02,POINT (-92.05673050937497 29.45328617031248)
1,13,6,1997-07-20,2009-07-19,POINT (-92.142222 28.85333300000002)
1,28,6,1997-11-28,2007-10-11,POINT (-92.35904740000001 29.408201150000025)
1,31,F,1997-10-06,2013-06-09,POINT (-91.9205101296875 28.753248470312485)
1,29,B,1997-10-10,2001-02-07,POINT (-92.76028877968753 28.831900309374987)
1,37,14,1997-10-08,2023-06-12,POINT (-91.44912207031251 28.988270979687513)
1,32,F,1997-01-01,,POINT (-92.98935230937502 28.16133215000002)
1,40,C,1997-11-10,2012-10-29,POINT (-90.888468740625 28.64447795000001)
1,38,24,1997-08-20,2014-10-17,POINT (-91.45039017968747 29.045655629687474)
1,33,196,1997-08-08,,POINT (-91.8760209203125 29.29493507968749)
2,10070,CPF,1976-01-01,,POINT (-93.78465822968752 29.271741220312492)
1,80007,A,1997-07-26,2011-07-31,POINT (-91.76574957968751 28.910201729687515)
1,80015,A,1997-09-17,,POINT (-90.81930422968748 28.08399205937502)
1,32002,5,1996-09-18,2002-06-06,POINT (-91.75182615937501 29.139542340624985)
1,43,A,1997-08-12,2015-08-28,POINT (-88.4848256796875 29.903067329687474)
1,36,A,1998-01-01,,POINT (-88.11330955 29.347437909375003)
1,46,A,1997-12-02,2005-08-06,POINT (-91.3374931796875 28.239016879687483)
1,45,A,1997-11-30,2002-07-22,POINT (-96.81563964062502 27.55693524999998)
1,35,2,1997-08-17,1998-03-27,POINT (-88.5237847203125 29.96814694062499)
1,80036,B,1997-07-30,2003-05-20,POINT (-91.63211957968753 29.184980770312507)
1,39,A,1998-03-04,2004-02-23,POINT (-88.30415015 29.512242670312503)
1,26,JC,1997-09-05,2014-09-06,POINT (-90.51725420000002 28.850119709375008)
1,61,A,1997-08-16,2013-11-22,POINT (-88.83462689999999 29.567601649999972)
1,57,B,1997-09-26,2008-07-19,POINT (-93.45844659062499 28.370732159374995)
1,60,A,1997-10-17,2017-06-14,POINT (-89.73676227031251 28.99961087968751)
1,21,D,1997-11-21,,POINT (-92.07347170937499 28.60655230937499)
1,58,B,1997-09-18,2021-06-24,POINT (-90.67861182031248 28.510543440624986)
1,90146,TEST PILES,,,POINT (-90.68502840937498 28.644976190625016)
1,47,TEMP.CAIS.#1,1997-03-19,1999-06-05,POINT (-93.56048375 29.57442885937502)
1,68,#14,1997-09-26,1999-08-23,POINT (-92.7298002 29.281169529687475)
1,70008,A,1996-10-26,2018-05-17,POINT (-94.5783510296875 29.225447099999997)
1,74,B,1997-10-04,2017-08-16,POINT (-95.56508722031248 28.256353490624974)
1,75,CAIS.#198,1997-09-09,,POINT (-91.99708764062501 29.344432700000027)
1,10343,A,1989-01-01,2016-08-01,POINT (-96.62436000000002 27.930586000000005)
1,10350,A,1989-01-01,2010-11-16,POINT (-96.76857799999999 27.74918500000001)
1,31013,4,1996-06-11,2001-11-08,POINT (-89.03024655937497 29.451582350000024)
1,32035,B,1996-08-01,2023-07-15,POINT (-91.25777614062503 28.818664209375015)
1,28052,3,1996-07-02,1999-09-29,POINT (-94.21992630937501 28.996945299999993)
1,31019,A,1997-05-14,2002-06-30,POINT (-88.04666147968749 29.886321390625028)
1,32038,CAIS.#29,1996-08-15,,POINT (-91.5356175296875 29.31148500937502)
1,90000,A2,1997-02-17,2007-01-23,POINT (-91.79227960937499 29.281172620312475)
1,32039,20,1996-10-27,2018-09-02,POINT (-91.69978997968752 29.067074570312514)
1,29052,A,1997-12-18,2018-06-08,POINT (-93.51094519999998 29.48589140937497)
1,31033,A,1996-09-22,2016-06-06,POINT (-89.92407609999998 28.729847629687526)
1,32043,189,1996-09-03,,POINT (-92.0116658 29.326661309375027)
1,70000,#4,1997-08-12,2011-04-30,POINT (-89.520871559375 29.050450690624984)
1,80001,C,1996-10-28,2007-09-05,POINT (-90.947012809375 28.433113870312525)
1,80002,A,1997-01-02,,POINT (-91.0697027 28.593301140624988)
1,80006,A,1997-03-07,2006-07-10,POINT (-91.14977720937497 28.493636479687495)
1,80008,A,1996-10-26,2001-10-21,POINT (-91.5611591 28.615118679687498)
1,80009,2,1997-01-22,2005-08-06,POINT (-91.6983763296875 29.05096932968752)
1,80010,D,1997-10-07,,POINT (-90.64051350937501 28.849112809375015)
1,90009,2,1996-11-13,2011-09-24,POINT (-92.51114027968748 29.46102185000001)
1,90010,CAIS.#191,1996-12-02,,POINT (-91.88124935937498 29.302090659374983)
1,90011,TEMP.CAIS.#192,2000-02-02,2014-11-04,POINT (-91.85975215937498 29.295372670312474)
1,80011,B,1997-04-10,2007-12-03,POINT (-91.00943942968752 28.569557329687484)
1,80012,3,1997-02-25,2017-08-09,POINT (-91.57273780937498 29.01785000000001)
1,80013,C,1997-11-05,2014-08-23,POINT (-91.26964865937498 28.81067682968751)
1,70009,A,1997-04-23,2017-05-26,POINT (-88.85133117968752 29.345500840624993)
1,70011,A-1,1996-12-24,2008-06-23,POINT (-88.34907190937503 30.170074999999997)
1,90013,C,1997-12-15,2011-09-24,POINT (-92.51904560937498 29.4665305703125)
1,80014,A,1997-01-17,2017-06-15,POINT (-91.45293389062499 28.52897322031248)
1,90015,A,1997-05-15,,POINT (-92.83767499999999 28.074015329687484)
1,70013,B,1997-05-06,2016-05-30,POINT (-90.43344557968749 28.4795522296875)
1,80018,8,1997-01-01,2012-08-13,POINT (-91.64538162031249 29.161822400000005)
1,50008,1,1997-03-09,1999-08-23,POINT (-93.68708522968751 29.6373643296875)
1,70015,A,1997-12-01,2002-07-24,POINT (-88.03668474062499 29.80359207968752)
1,80019,B,1997-01-05,2023-07-23,POINT (-91.264190359375 28.830549779687487)
1,90018,4,1997-04-01,2001-12-18,POINT (-92.80809802031251 29.564907770312516)
1,80021,A,1997-05-07,2004-06-20,POINT (-90.82269212968748 28.359776809374978)
1,50010,B,1998-03-13,,POINT (-93.47170392968752 28.45387505937498)
